url,registrable,text
,gov.in," Domain: gov.in
Registrable Domain: gov.in

📡 DNS Records:
   MX (Mail): mx2.mgovcloud.in, mx3.mgovcloud.in, mx.mgovcloud.in
   NS (Nameservers): ns10.trs-dns.info, ns01.trs-dns.com, ns01.trs-dns.net, ns10.trs-dns.org

📋 WHOIS Information:
   Registrar: National Internet Exchange of India
   Domain Age: 139 days
   Days Until Expiry: 3512

📊 Metadata:
   First Seen: 1760452931.993091
   Processing Stage: resolved"
,finmin.nic.in," Domain: finmin.nic.in
Registrable Domain: finmin.nic.in

📊 Metadata:
   First Seen: 1760452943710"
,aai.aero," Domain: aai.aero
Registrable Domain: aai.aero

📡 DNS Records:
   A (IPv4): 104.21.72.58, 172.67.175.240
   AAAA (IPv6): 2606:4700:3034::ac43:aff0, 2606:4700:3034::6815:483a
   MX (Mail): mail1.aai.aero, mail.aai.aero
   NS (Nameservers): dale.ns.cloudflare.com, elma.ns.cloudflare.com

📋 WHOIS Information:
   Registrar: Tucows Domains Inc.
   Domain Age: 8573 days
   Days Until Expiry: 192

🌍 Network & Location:
   ASN: 13335

📊 Metadata:
   First Seen: 1760452937.7999337
   Processing Stage: resolved"
https://fssai.gov.in/,fssai.gov.in,"https://fssai.gov.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: fssai.gov.in
URL: https://fssai.gov.in/
Registrable Domain: fssai.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 21 chars, Entropy: 3.65
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 1
      Password Fields: 0
      Email Fields: 0

   📄 Page Content:
      External Links: 596

   🚩 Phishing Keywords Detected: account, secure, verify, urgent

   ⚠️ JavaScr"
https://haryana.gov.in/,haryana.gov.in,"https://haryana.gov.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: haryana.gov.in
URL: https://haryana.gov.in/
Registrable Domain: haryana.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 23 chars, Entropy: 3.76
      Subdomains: 1, Hyphens: 0, Special Chars: 0

📊 Metadata:
   First Seen: 2025-10-14T14:50:18.658788+00:00
   Processing Stage: rules:benign"
,bhel.com," Domain: bhel.com
Registrable Domain: bhel.com

📡 DNS Records:
   A (IPv4): 111.118.189.167
   NS (Nameservers): mailgw3.bhel.in, corpdrns1.bhel.in, corpns1.bhel.in

📋 WHOIS Information:
   Registrar: PDR Ltd. d/b/a PublicDomainRegistry.com
   Domain Age: 10319 days
   Days Until Expiry: 271

🌍 Network & Location:
   ASN: 55470
   Country: IN

📊 Metadata:
   First Seen: 1760452941.4674704
   Processing Stage: resolved"
https://gujarat.gov.in/,gujarat.gov.in,"https://gujarat.gov.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: gujarat.gov.in
URL: https://gujarat.gov.in/
Registrable Domain: gujarat.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 23 chars, Entropy: 3.85
      Subdomains: 1, Hyphens: 0, Special Chars: 0

📊 Metadata:
   First Seen: 2025-10-14T14:50:34.986131+00:00
   Processing Stage: rules:benign"
,icmr.gov.in," Domain: icmr.gov.in
Registrable Domain: icmr.gov.in

📡 DNS Records:
   A (IPv4): 103.195.217.63
   AAAA (IPv6): 2001:4408:1184:41:28:195:217:63
   MX (Mail): mx3.mgovcloud.in, mx2.mgovcloud.in, mx.mgovcloud.in
   NS (Nameservers): ns2.nic.in, ns1.nic.in, ns10.nic.in, ns7.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 4857 days
   Days Until Expiry: 255

🌍 Network & Location:
   ASN: 4758
   Country: IN

📊 Metadata:
   First Seen: 1760452944.5732617
   Processing Stage"
,imps.npci.org.in," Domain: imps.npci.org.in
Registrable Domain: imps.npci.org.in

📡 DNS Records:

📋 WHOIS Information:
   Registrar: OVI HOSTING PVT LTD
   Domain Age: 6095 days
   Days Until Expiry: 1209

📊 Metadata:
   First Seen: 1760452947.2658138
   Processing Stage: resolved"
https://cert-in.org.in/,cert-in.org.in,"https://cert-in.org.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: cert-in.org.in
URL: https://cert-in.org.in/
Registrable Domain: cert-in.org.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 23 chars, Entropy: 3.76
      Subdomains: 1, Hyphens: 1, Special Chars: 0

📊 Metadata:
   First Seen: 2025-10-14T14:45:44.863669+00:00
   Processing Stage: rules:benign"
https://irdai.gov.in/,irdai.gov.in,"https://irdai.gov.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: irdai.gov.in
URL: https://irdai.gov.in/
Registrable Domain: irdai.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 21 chars, Entropy: 3.75
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 2
      Password Fields: 0
      Email Fields: 0

   📄 Page Content:
      External Links: 64

   🚩 Phishing Keywords Detected: account, login

   ⚠️ JavaScript Behavior:
    "
,ircon.org," Domain: ircon.org
Registrable Domain: ircon.org

📡 DNS Records:
   A (IPv4): 103.241.144.78
   MX (Mail): aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com
   NS (Nameservers): ns52.domaincontrol.com, ns51.domaincontrol.com

📋 WHOIS Information:
   Registrar: GoDaddy.com, LLC
   Domain Age: 7277 days
   Days Until Expiry: 757

🌍 Network & Location:
   ASN: 18229
   Country: IN

📊 Metadata:
   First Seen: 1760452954.1949959
   Processing S"
,ladakh.nic.in," Domain: ladakh.nic.in
Registrable Domain: ladakh.nic.in

📊 Metadata:
   First Seen: 1760452961799"
,karnataka.gov.in," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: karnataka.gov.in
Registrable Domain: karnataka.gov.in

📡 DNS Records:
   A (IPv4): 103.138.196.75
   MX (Mail): mx1.karnataka.gov.in, mx2.karnataka.gov.in
   NS (Nameservers): ns7.nic.in, ns1.nic.in, ns2.nic.in, ns10.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 8080 days
   Days Until Expiry: 320

🌍 Network & Location:
   ASN: 138727
   Country: IN

📊 Metadata:
   First Seen: 2025-10-14T14:43:19.990817"
,kerala.gov.in," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: kerala.gov.in
Registrable Domain: kerala.gov.in

📡 DNS Records:
   A (IPv4): 103.135.130.250
   MX (Mail): mailgwgov.nic.in
   NS (Nameservers): ns1.cdit.org, ns2.cdit.org, ns3.cdit.org

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7958 days
   Days Until Expiry: 77

🌍 Network & Location:
   ASN: 133037
   Country: IN

📊 Metadata:
   First Seen: 2025-10-14T14:43:19.965278+00:00
   Processing Stage: rules:benig"
https://manipur.gov.in/,manipur.gov.in,"https://manipur.gov.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: manipur.gov.in
URL: https://manipur.gov.in/
Registrable Domain: manipur.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 23 chars, Entropy: 3.88
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 1
      Password Fields: 0
      Email Fields: 0

   📄 Page Content:
      External Links: 29

   ⚠️ JavaScript Behavior:
      🚨 Obfuscated Code Detected

📊 Metadata:"
,jk.gov.in," Domain: jk.gov.in
Registrable Domain: jk.gov.in

📡 DNS Records:
   A (IPv4): 164.100.223.4
   MX (Mail): mailgw.nic.in
   NS (Nameservers): ns2.jk.gov.in, ns1.jk.gov.in, ns3.jk.gov.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7416 days
   Days Until Expiry: 253

🌍 Network & Location:
   ASN: 55824
   Country: IN

📊 Metadata:
   First Seen: 1760452962.0145414
   Processing Stage: resolved"
https://meghalaya.gov.in/,meghalaya.gov.in,"https://meghalaya.gov.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: meghalaya.gov.in
URL: https://meghalaya.gov.in/
Registrable Domain: meghalaya.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 25 chars, Entropy: 3.94
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 1
      Password Fields: 0
      Email Fields: 0

   📄 Page Content:
      External Links: 28

   ⚠️ JavaScript Behavior:
      🚨 Obfuscated Code Detected

📊 M"
https://maharashtra.gov.in/,maharashtra.gov.in,"https://maharashtra.gov.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: maharashtra.gov.in
URL: https://maharashtra.gov.in/
Registrable Domain: maharashtra.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 27 chars, Entropy: 3.71
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 1
      Password Fields: 0
      Email Fields: 0

   📄 Page Content:
      External Links: 14

   🚩 Phishing Keywords Detected: account

   ⚠️ JavaScri"
https://mtnl.net.in/,mtnl.net.in,"https://mtnl.net.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: mtnl.net.in
URL: https://mtnl.net.in/
Registrable Domain: mtnl.net.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 20 chars, Entropy: 3.35
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 1
      Password Fields: 0
      Email Fields: 0

   📄 Page Content:
      External Links: 126

   ⚠️ JavaScript Behavior:

📊 Metadata:
   First Seen: 2025-10-14T14:47:50.802702+0"
,mha.gov.in," Domain: mha.gov.in
Registrable Domain: mha.gov.in

📡 DNS Records:
   A (IPv4): 164.100.228.92
   MX (Mail): mx.mgovcloud.in, mx2.mgovcloud.in, mx3.mgovcloud.in
   NS (Nameservers): ns7.nic.in, ns10.nic.in, ns1.nic.in, ns2.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7145 days
   Days Until Expiry: 159

🌍 Network & Location:
   ASN: 4758
   Country: IN

📊 Metadata:
   First Seen: 1760452965.889083
   Processing Stage: resolved"
,nabard.org," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: nabard.org
Registrable Domain: nabard.org

📡 DNS Records:
   A (IPv4): 103.167.77.207
   MX (Mail): nabard-org.mail.protection.outlook.com
   NS (Nameservers): ns1.netcore.co.in, ns2.netcore.co.in

📋 WHOIS Information:
   Registrar: Network Solutions, LLC
   Domain Age: 9743 days
   Days Until Expiry: 3040

🌍 Network & Location:
   ASN: 141857
   Country: IN

📊 Metadata:
   First Seen: 2025-10-14T14:43:13.407963+00:00
   Processing Stage: rul"
